Stock Code,Company Description
WPRT,"Westport Fuel Systems Inc. engages in the engineering, manufacturing, and supplying alternative fuel systems and components for use in transportation applications in Europe, the Americas, Asia, Africa, and internationally. The company operates through Original Equipment Manufacturer and Independent Aftermarket segments. It offers alternative fuel systems and components, which include a range of alternative fuels, such as liquefied petroleum gas, compressed natural gas, liquefied natural gas (LNG), renewable natural gas, and hydrogen; and engages in the light and heavy-duty original equipment manufacturers (OEMs) and delayed OEMs, electronics, and fuel storage activities. The company also provides Westport High Pressure Direct Injection 2.0, a fully integrated LNG fuel systems that enables diesel engines using primarily natural gas fuel to match the power, torque, and fuel economy benefits found in traditional compression ignition engines, which reduces greenhouse gas emissions. Its products and services are used for passenger cars; light-, medium-, and heavy-duty trucks, as well as off-road applications.; and cryogenics and hydrogen applications under the BRC Gas Equipment, Westport HPDI, OMVL, Prins, GFi Control systems, Emer, Zavoli, TA Gas Technology, Valtek, AFS, and STAKO brands. The company was formerly known as Westport Innovations Inc. and changed its name to Westport Fuel Systems Inc. in June 2016. Westport Fuel Systems Inc. was incorporated in 1995 and is headquartered in Vancouver, Canada."
WRAP,"Wrap Technologies, Inc., a public safety technology and services company, develops policing solutions to law enforcement and security personnel. The company's flagship product is BolaWrap 150, a handheld remote restraint device that discharges a seven and a half-foot Kevlar tether, entangling an individual from a range of 10-25 feet. It also offers virtual reality training system, a law enforcement 3D training system employing immersive computer graphics VR with proprietary software-enabled content. It operates in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. The company was incorporated in 2007 and is based in Tempe, Arizona."
WRLD,"World Acceptance Corporation engages in consumer finance business in the United States. The company offers short-term small installment loans, medium-term larger installment loans, related credit insurance, and ancillary products and services to individuals. It also provides income tax return preparation and filing services; and automobile club memberships. It serves individuals with limited access to other sources of consumer credit, such as banks, credit unions, other consumer finance businesses, and credit card lenders. World Acceptance Corporation was founded in 1962 and is headquartered in Greenville, South Carolina."
WSBC,"WesBanco, Inc. operates as the bank holding company for WesBanco Bank, Inc. that provides retail banking, corporate banking, personal and corporate trust, brokerage, and mortgage banking and insurance services. The company operates in two segments, Community Banking, and Trust and Investment Services. It offers commercial demand, individual demand, and time deposit accounts; commercial, mortgage and individual installment loans; retail loans, such as residential real estate mortgage loans, home equity lines of credit, and loans for other consumer purposes; installment loans to finance the purchase of automobiles, trucks, motorcycles, boats, and other recreational vehicles, as well as home equity installment loans, unsecured home improvement loans, and revolving lines of credit; and various non-traditional offerings, such as insurance and securities brokerage services. The company also provides trust services; and various alternative investment products, including mutual funds and annuities. Further, it acts as an agency that specializes in property, casualty, life, and title insurance, as well as benefit plan sales and administration to personal and commercial clients; provides broker dealer and discount brokerage services; holds investment securities and loans; and holds and leases commercial real estate properties, as well as acts as an investment adviser to a family of mutual funds. The company was founded in 1870 and is headquartered in Wheeling, West Virginia."
WSBCP,"WesBanco, Inc. operates as the bank holding company for WesBanco Bank, Inc. that provides retail banking, corporate banking, personal and corporate trust, brokerage, and mortgage banking and insurance services. The company operates in two segments, Community Banking, and Trust and Investment Services. It offers commercial demand, individual demand, and time deposit accounts; commercial, mortgage and individual installment loans; retail loans, such as residential real estate mortgage loans, home equity lines of credit, and loans for other consumer purposes; installment loans to finance the purchase of automobiles, trucks, motorcycles, boats, and other recreational vehicles, as well as home equity installment loans, unsecured home improvement loans, and revolving lines of credit; and various non-traditional offerings, such as insurance and securities brokerage services. The company also provides trust services; and various alternative investment products, including mutual funds and annuities. Further, it acts as an agency that specializes in property, casualty, life, and title insurance, as well as benefit plan sales and administration to personal and commercial clients; provides broker dealer and discount brokerage services; holds investment securities and loans; and holds and leases commercial real estate properties, as well as acts as an investment adviser to a family of mutual funds. The company was founded in 1870 and is headquartered in Wheeling, West Virginia."
WSBF,"Waterstone Financial, Inc. operates as a bank holding company for WaterStone Bank SSB that provides various financial services to customers in southeastern Wisconsin, the United States. It operates in two segments, Community Banking and Mortgage Banking. The Community Banking segment offers consumer and business banking products and services, such as deposit and transactional solutions, including checking accounts, online banking and bill pay services, money transfer services, as well as credit, debit, and pre-paid cards; investable funds solutions comprising savings, money market deposits, individual retirement accounts, and certificates of deposit; residential mortgages, home equity loans and lines of credit, personal and installment loans, real estate financing, business loans, and business lines of credit; and fixed and variable annuities, insurance products, and trust and investment management accounts. It also provides transaction deposits, interest bearing transaction accounts, demand deposits, non-interest-bearing demand accounts, and time deposits; secured and unsecured lines; commercial real estate construction loans; term loans for working capital, inventory, and general corporate use; and personal term loans and investment services. The Mortgage Banking segment offers residential mortgage loans for the purpose of sale in the secondary market. It also invests in a portfolio of securities include mortgage-backed securities, government-sponsored and private-label enterprise bonds, collateralized mortgage and municipal obligations, and other debt securities. The company was formerly known as Wauwatosa Holdings, Inc. and changed its name to Waterstone Financial, Inc. in August 2008. Waterstone Financial, Inc. was founded in 1921 and is based in Wauwatosa, Wisconsin."
WSC,"WillScot Mobile Mini Holdings Corp. provides work space and portable storage solutions in the United States, Canada, and Mexico. It operates in two segments, Modular Solutions and Storage Solutions. The company leases modular space and portable storage units to customers in the commercial and industrial, construction, retail and wholesale trade, education, energy and natural resources, government, institutions, healthcare, and other end markets. The company offers its solutions primarily under the WillScot and Mobile Mini brands. WillScot Mobile Mini Holdings Corp. was incorporated in 2017 and is headquartered in Phoenix, Arizona."
WSFS,"WSFS Financial Corporation operates as the savings and loan holding company for the Wilmington Savings Fund Society, FSB that provides various banking services in the United States. It operates through three segments: WSFS Bank, Cash Connect, and Wealth Management. It offers various deposit products, including savings accounts, demand deposits, interest-bearing demand deposits, money market deposit accounts, and certificates of deposit, as well as accepts jumbo certificates of deposit from individuals, businesses, and municipalities. The company also provides a range of loans, which comprise fixed and adjustable rate residential loans; commercial real estate mortgage loans; commercial construction loans; commercial loans for working capital, financing equipment and real estate acquisitions, business expansion, and other business purposes; and consumer credit products, such as home improvement, automobile, and other secured and unsecured personal installment loans, as well as home equity lines and unsecured lines of credit, and government-insured reverse mortgages. In addition, it offers various insurance products; investment advisory services to high net worth individuals; mortgage and title services; and leases small equipment and fixed assets, as well as cash management, trust, and wealth management services. Further, the company provides ATM vault cash, smart safe, and other cash logistics services; and online reporting and ATM cash management, predictive cash ordering and reconcilement services, armored carrier management, loss protection, ATM processing equipment sales, and deposit safe cash logistics services. The company was founded in 1832 and is headquartered in Wilmington, Delaware."
WTBA,"West Bancorporation, Inc. operates as the financial holding company for West Bank that provides community banking and trust services to individuals and small- to medium-sized businesses in the United States. It offers deposit services, including checking, savings, and money market accounts, as well as time certificates of deposit. The company also provides loan products comprising commercial real estate loans, construction and land development loans, commercial lines of credit, and commercial term loans; consumer loans, including loans extended to individuals for household, family, and other personal expenditures not secured by real estate; and 1-4 family residential mortgages and home equity loans. In addition, it offers online and mobile banking, treasury management services including cash management, client-generated automated clearing house transactions, remote deposit, and fraud protection services; merchant credit card processing and corporate credit cards; and administration of estates, conservatorships, personal trusts, and agency accounts. The company was founded in 1893 and is headquartered in West Des Moines, Iowa."
WTER,"The Alkaline Water Company Inc. produces, distributes, and markets bottled alkaline water in the United States. The company also offers bottled alkaline water in various volumes under the Alkaline88 brand. In addition, it engages in selling of sports drinks under the Alkaline88 Sports Drinks brand. The company sells its products through brokers and distributors to retailers, such as convenience stores, natural food products stores, large ethnic markets, and national retailers, as well as e-commerce websites. The Alkaline Water Company Inc. was incorporated in 2011 and is headquartered in Scottsdale, Arizona."
WTFC,"Wintrust Financial Corporation operates as a financial holding company. It operates in three segments: Community Banking, Specialty Finance, and Wealth Management. The Community Banking segment offers non-interest bearing deposits, non-brokered interest-bearing transaction accounts, and savings and domestic time deposits; home equity, consumer, and real estate loans; safe deposit facilities; and automatic teller machine (ATM), online and mobile banking, and other services. It also engages in the retail origination and purchase of residential mortgages for sale into the secondary market; and provision of lending, deposits, and treasury management services to condominium, homeowner, and community associations, as well as asset-based lending for middle-market companies. In addition, this segment offers loan and deposit services to mortgage brokerage companies; lending to restaurant franchisees; direct leasing; small business administration loans; commercial mortgages and construction loans; and financial solutions. It provides personal and commercial banking services primarily to individuals, small to mid-sized businesses, local governmental units, and institutional clients. The Specialty Finance segment offers commercial and life insurance premiums financing for businesses and individuals; accounts receivable financing, value-added, and out-sourced administrative services; and other specialty finance services, as well as data processing of payrolls, billing, and cash management services to temporary staffing industry. The Wealth Management segment provides trust and investment, asset management, tax-deferred exchange, securities brokerage, and retirement plan services. Wintrust Financial Corporation was founded in 1991 and is headquartered in Rosemont, Illinois."
WTFCM,"Wintrust Financial Corporation operates as a financial holding company. It operates in three segments: Community Banking, Specialty Finance, and Wealth Management. The Community Banking segment offers non-interest bearing deposits, non-brokered interest-bearing transaction accounts, and savings and domestic time deposits; home equity, consumer, and real estate loans; safe deposit facilities; and automatic teller machine (ATM), online and mobile banking, and other services. It also engages in the retail origination and purchase of residential mortgages for sale into the secondary market; and provision of lending, deposits, and treasury management services to condominium, homeowner, and community associations, as well as asset-based lending for middle-market companies. In addition, this segment offers loan and deposit services to mortgage brokerage companies; lending to restaurant franchisees; direct leasing; small business administration loans; commercial mortgages and construction loans; and financial solutions. It provides personal and commercial banking services primarily to individuals, small to mid-sized businesses, local governmental units, and institutional clients. The Specialty Finance segment offers commercial and life insurance premiums financing for businesses and individuals; accounts receivable financing, value-added, and out-sourced administrative services; and other specialty finance services, as well as data processing of payrolls, billing, and cash management services to temporary staffing industry. The Wealth Management segment provides trust and investment, asset management, tax-deferred exchange, securities brokerage, and retirement plan services. Wintrust Financial Corporation was founded in 1991 and is headquartered in Rosemont, Illinois."
WTFCP,"Wintrust Financial Corporation operates as a financial holding company. It operates in three segments: Community Banking, Specialty Finance, and Wealth Management. The Community Banking segment offers non-interest bearing deposits, non-brokered interest-bearing transaction accounts, and savings and domestic time deposits; home equity, consumer, and real estate loans; safe deposit facilities; and automatic teller machine (ATM), online and mobile banking, and other services. It also engages in the retail origination and purchase of residential mortgages for sale into the secondary market; and provision of lending, deposits, and treasury management services to condominium, homeowner, and community associations, as well as asset-based lending for middle-market companies. In addition, this segment offers loan and deposit services to mortgage brokerage companies; lending to restaurant franchisees; direct leasing; small business administration loans; commercial mortgages and construction loans; and financial solutions. It provides personal and commercial banking services primarily to individuals, small to mid-sized businesses, local governmental units, and institutional clients. The Specialty Finance segment offers commercial and life insurance premiums financing for businesses and individuals; accounts receivable financing, value-added, and out-sourced administrative services; and other specialty finance services, as well as data processing of payrolls, billing, and cash management services to temporary staffing industry. The Wealth Management segment provides trust and investment, asset management, tax-deferred exchange, securities brokerage, and retirement plan services. Wintrust Financial Corporation was founded in 1991 and is headquartered in Rosemont, Illinois."
WTW,"Willis Towers Watson Public Limited Company operates as an advisory, broking, and solutions company worldwide. It operates through two segments: Health, Wealth and Career; and Risk & Broking. The company offers strategy and design consulting, plan management service and support, broking and administration services for health, wellbeing, and other group benefit programs; actuarial support, plan design, and administrative services for pension and retirement savings plans; and benefits outsourcing services, including a suite of health and welfare, and pension administration outsourcing services. It also provides advice, data, software, and products to address clients' total rewards and talent issues; and risk advice, insurance brokerage, and consulting services in the areas of property and casualty, aerospace, construction, and marine. In addition, the company offers integrated solutions that consists of investment discretionary management, pension administration, core actuarial, and communication and change management assistance services; software and technology, risk and capital management, products and product pricing, financial and regulatory reporting, financial and capital modeling, merger and acquisition, outsourcing, and business management services; and wholesale reinsurance services. Additionally, it provides primary medical and ancillary benefit exchange, and outsourcing services to active employees and retirees in the group and individual markets. The company was formerly known as Willis Group Holdings Public Limited Company and changed its name to Willis Towers Watson Public Limited Company in January 2016. Willis Towers Watson Public Limited Company was founded in 1828 and is based in London, the United Kingdom."
WULF,"TeraWulf Inc., together with its subsidiaries, operates as a digital asset technology company in the United States. It develops, owns, and operates bitcoin mining facility sites in New York and Pennsylvania. TeraWulf Inc. was founded in 2021 and is based in Easton, Maryland."
WVE,"Wave Life Sciences Ltd., a clinical-stage genetic medicine company, designs, optimizes, and produces novel stereopure oligonucleotides through PRISM, a discovery and drug developing platform. It is developing oligonucleotides target ribonucleic acid (RNA) to correct disease-causing mutations, modulate protein activity, restore the production of functional proteins, or reduce the expression of disease-promoting RNAs or proteins. The company also develops WVE-004, a C9orf72 molecule for the treatment of amyotrophic lateral sclerosis and frontotemporal dementia; WVE-003, a mutant huntingtin SNP3 molecule for the treatment of Huntington's disease; WVE-N531, an Exon 53 molecule for the treatment of Duchenne muscular dystrophy; WVE-006, the SERPINA1 molecule for the treatment of Alpha-1 antitrypsin deficiency (AATD); and ATXN3, a discovery stage program for the treatment of spinocerebellar ataxia 3, as well as multiple preclinical programs for CNS disorders, including Alzheimer's and Parkinson's diseases. It has collaboration agreements with Pfizer Inc., Takeda Pharmaceutical Company Limited, and Glaxo Group Limited. The company was incorporated in 2012 and is based in Singapore."
WW,"WW International, Inc. provides weight management products and services worldwide. It offers a range of nutritional, activity, behavioral, and lifestyle tools and approaches products and services. The company also provides various digital subscription products to wellness and weight management business, which provide interactive and personalized resources that allow users to follow its weight management program through its app and web-based platform, including personal coaching and digital products; and allows members to inspire and support each other by sharing their experiences with other people on weight loss and weight management journeys. In addition, it offers various consumer products, including bars, snacks, cookbooks, kitchen tools, and other products. Further, the company licenses its trademarks and other intellectual property in food, beverages, and other relevant consumer products and services, as well as provides publishing services. It offers products through e-commerce platforms and through partners. The company was formerly known as Weight Watchers International, Inc. and changed its name to WW International, Inc. in September 2019. WW International, Inc. was founded in 1961 and is headquartered in New York, New York."
WWD,"Woodward, Inc. designs, manufactures, and services control solutions for the aerospace and industrial markets worldwide. The company operates through two segments: Aerospace and Industrial. The Aerospace segment provides fuel pumps, metering units, actuators, air valves, specialty valves, fuel nozzles, and thrust reverser actuation systems for turbine engines and nacelles, and flight deck controls, actuators, servocontrols, motors, and sensors for aircraft. These products are used on commercial and private aircraft and rotorcraft, as well as on military fixed-wing aircraft and rotorcraft, guided weapons, and other defense systems. It also provides aftermarket maintenance, repair and overhaul, and other services to commercial airlines, repair facilities, military depots, third party repair shops, and other end users. This segment sells its products to original equipment manufacturers (OEMs), tier-one suppliers, and various contractors, as well as through aftermarket sales of components, such as provisioning spares or replacements, and spare parts. The Industrial segment offers actuators, valves, pumps, fuel injection systems, solenoids, ignition systems, speed controls, electronics and software, and sensors. These products are used on industrial gas turbines, steam turbines, compressors, and reciprocating engines. This segment sells its aftermarket products, and other related services to OEMs through an independent network of distributors, as well as directly to end users. The company was founded in 1870 and is headquartered in Fort Collins, Colorado."
WYNN,"Wynn Resorts, Limited designs, develops, and operates integrated resorts. The company operates through four segments: Wynn Palace, Wynn Macau, Las Vegas Operations, and Encore Boston Harbor. The Wynn Palace segment operates private gaming salons and sky casinos; a luxury hotel tower with suites, and villas, including a health club, spa, salon, and pool; food and beverage outlets; retail space; meeting and convention space; and performance lake and floral art displays. The Wynn Macau segment operates casino space with private gaming salons, sky casinos, and a poker room; a luxury hotel tower, that include health clubs, spas, a salon, and a pool; food and beverage outlets; retail space; meeting and convention space; and Chinese zodiac-inspired ceiling attractions. The Las Vegas Operations segment operates casino space with private gaming salons, a sky casino, a poker room, and a race and sports book; a luxury hotel tower with suites, and villas, including swimming pools, private cabanas, full-service spas and salons, and a wedding chapel; food and beverage outlets; meeting and convention space; retail space; and theaters, nightclubs, a beach club. The Encore Boston Harbor segment operates casino space with gaming areas, and a poker room; a luxury hotel tower including a spa and salon; food and beverage outlets and a nightclub; retail space; meeting and convention space; and a waterfront park, floral displays, and water shuttle service. Wynn Resorts, Limited was founded in 2002 and is based in Las Vegas, Nevada."
XAIR,"Beyond Air, Inc. operates as a commercial-stage medical device and biopharmaceutical company in the United States. The company engages in the development of LungFit platform, a nitric oxide generator and delivery system. It offers LungFit PH for the treatment of persistent pulmonary hypertension of the newborn. The company is also developing LungFit PRO for the treatment of viral lung infections, such as community-acquired viral pneumonia, including COVID-19, as well as bronchiolitis in hospitalized patients; and LungFit GO for the treatment of nontuberculous mycobacteria. The company was formerly known as AIT Therapeutics, Inc. and changed its name to Beyond Air, Inc. in June 2019. Beyond Air, Inc. is based in Garden City, New York."
XBIO,"Xenetic Biosciences, Inc., a biopharmaceutical company, focuses on advancing XCART, a personalized chimeric antigen receptor T cell (CAR T) platform technology engineered to target patient-specific tumor neoantigens. The company engages in the development of biologic drugs and therapeutics. It advances cell-based therapeutics targeting the B-cell receptor on the surface of an individual patient's malignant tumor cells for the treatment of B-cell lymphomas. In addition, the company leveraging PolyXen, its proprietary drug delivery platform, by partnering with biotechnology and pharmaceutical companies. It has collaboration agreements with Takeda Pharmaceutical Co. Ltd., Serum Institute of India Limited, and PJSC Pharmsynthez. Xenetic Biosciences, Inc. is headquartered in Framingham, Massachusetts."
XCUR,"Exicure, Inc., an early-stage biotechnology company, develops nucleic acid therapies targeting ribonucleic acid against validated targets. The company's preclinical candidate includes SCN9A that is in preclinical studies for the treatment of chronic pain. It also develops immuno-oncology therapeutics based on its proprietary SNA technology. Exicure, Inc. was founded in 2011 and is headquartered in Chicago, Illinois."
XEL,"Xcel Energy Inc., through its subsidiaries, generates, purchases, transmits, distributes, and sells electricity. It operates through Regulated Electric Utility, Regulated Natural Gas Utility, and All Other segments. The company generates electricity through coal, nuclear, natural gas, hydroelectric, solar, biomass, oil, wood/refuse, and wind energy sources. It also purchases, transports, distributes, and sells natural gas to retail customers, as well as transports customer-owned natural gas. In addition, the company develops and leases natural gas pipelines, and storage and compression facilities; and invests in rental housing projects, as well as procures equipment for the construction of renewable generation facilities. It serves residential, commercial, and industrial customers in the portions of Colorado, Michigan, Minnesota, New Mexico, North Dakota, South Dakota, Texas, and Wisconsin. The company was incorporated in 1909 and is headquartered in Minneapolis, Minnesota."
XELA,"Exela Technologies, Inc. provides transaction processing solutions, enterprise information management, document management, and digital business process services worldwide. The company operates through three segments: Information & Transaction Processing Solutions (ITPS), Healthcare Solutions (HS), and Legal & Loss Prevention Services (LLPS). The ITPS segment provides lending solutions for mortgages and auto loans; banking solutions for clearing, anti-money laundering, sanctions, and interbank cross-border settlement; property and casualty insurance solutions for origination, enrollments, claims processing, and benefits administration communications; and public sector solutions for income tax processing, benefits administration, and records management. It also offers solutions for payment processing and reconciliation, integrated receivable and payables management, document logistics and location services, records management, and electronic storage of data/documents; and software, hardware, professional services, and maintenance related to information and transaction processing automation. The HS segment provides revenue cycle solutions, integrated accounts payable and accounts receivable, and information management for healthcare payer and provider markets. The LLPS segment processes legal claims for class action and mass action settlement administrations, involving project management support, notification, and outreach to claimants; and collects, analyzes, and distributes settlement funds. It also offers data and analytical services in the areas of litigation consulting, economic and statistical analysis, expert witness services, and revenue recovery services for delinquent accounts receivable. Exela Technologies, Inc. was incorporated in 2014 and is headquartered in Irving, Texas."
XERS,"Xeris Biopharma Holdings, Inc., a biopharmaceutical company, engages in developing and commercializing therapies in Illinois. The company markets Gvoke, a ready-to-use liquid-stable glucagon for the treatment of severe hypoglycemia; and Keveyis, a therapy for the treatment of hyperkalemic, hypokalemic, and related variants of primary periodic paralysis; and Recorlev, a cortisol synthesis inhibitor proved for the treatment of endogenous hypercortisolemia in adult patients with Cushing's syndrome. It also has a pipeline of development programs to extend the marketed products into new indications and uses and bring new products using its proprietary formulation technology platforms, XeriSol and XeriJect. The company was incorporated in 2005 and is headquartered in Chicago, Illinois."
XFOR,"X4 Pharmaceuticals, Inc., a late-stage clinical biopharmaceutical company, focuses on the research, development, and commercialization of novel therapeutics for the treatment of rare diseases. Its lead product candidate is mavorixafor, a small molecule inhibitor of the chemokine receptor C-X-C chemokine receptor type 4 (CXCR4), which is in Phase III clinical trial for the treatment of patients with warts, hypogammaglobulinemia, infections, and myelokathexis syndrome; and Phase Ib clinical trial to treat chronic neutropenia and Waldenström macroglobulinemia. The company is also developing X4P-002, a CXCR4 antagonist for the treatment of brain cancers; and X4P-003, a CXCR4 antagonist for the treatment of CXCR4 disorders and primary immunodeficiencies. It has a license agreement with Abbisko Therapeutics Co., Ltd. to develop, manufacture, and commercialize mavorixafor in combination with checkpoint inhibitors or other agents in oncology indications. The company is headquartered in Boston, Massachusetts."
XGN,"Exagen Inc. develops and commercializes various testing products based on its cell-bound complement activation products technology under the AVISE brand in the United States. The company enables healthcare providers to care for patients through the diagnosis, prognosis, and monitoring of autoimmune and autoimmune-related diseases, including systemic lupus erythematosus (SLE) and rheumatoid arthritis (RA). Its lead testing product is AVISE CTD that enables differential diagnosis for patients presenting with symptoms indicative of various connective tissue diseases (CTDs) and other related diseases with overlapping symptoms. The company offers AVISE Lupus that measures activation of the complement system by quantifying the level of B-cell C4d and erythrocyte bound C4d in the patient's blood; and AVISE APS, which consists of a panel of autoantibody tests that aids in the diagnosis and management of APS. In addition, it provides AVISE Vasculitis AAV, which utilizes a testing panel of individual analytes to provide physicians with results in the assessment and monitoring of anti-neutrophil cytoplasmic antibody associated vasculitis; AVISE SLE Prognostic, a panel of autoantibodies for assessing the potential for complications affecting the kidney, brain, and cardiovascular system; AVISE Anti-CarP test, which identifies RA patients with severe disease; and AVISE PC4d to measure platelet- bound C4d. Further, the company offers AVISE SLE Monitor, a biomarker blood test; AVISE MTX, a patented and validated blood test; and AVISE HCQ, a blood test to monitor levels of hydroxychloroquine. It has a research collaboration and license agreement with Allegheny Health Network (AHN) Research Institute to develop novel patented biomarkers. The company was formerly known as Exagen Diagnostics, Inc. and changed its name to Exagen Inc. in January 2019. Exagen Inc. was incorporated in 2002 and is headquartered in Vista, California."
XLO,"Xilio Therapeutics, Inc., a clinical-stage biotechnology company, discovers and develops tumor-activated immuno-oncology therapies. Its checkpoint inhibitor program includes XTX101, an investigational Fc-enhanced, tumor-activated anti-CTLA-4 mAb that is in Phase 1 clinical trial for patients with advanced solid tumors. The company also develops cytokine programs, which comprises XTX202, a tumor-activated IL-2; and XTX301, an investigational tumor-activated, engineered IL-12 molecule. Xilio Therapeutics, Inc. was founded in 2016 and is headquartered in Waltham, Massachusetts."
XMTR,"Xometry, Inc. operates an online marketplace that enables buyers to source manufactured parts and assemblies in the United States and internationally. It provides computer numerical control manufacturing, sheet metal forming, and sheet cutting; 3D printing, including fused deposition modeling, direct metal laser sintering, PolyJet, stereolithography, selective laser sintering, binder jetting, carbon digital light synthesis, and multi jet fusion; and die casting, stamping, injection molding, urethane casting, tube cutting, and tube bending, as well as finishing services, rapid prototyping, and high-volume production services. It serves defense, aerospace, healthcare, consumer goods, robotics, government and education, automotive, consumer goods, and industrial industries. The company was formerly known as NextLine Manufacturing Corp. and changed its name to Xometry, Inc. in June 2015. Xometry, Inc. was incorporated in 2013 and is headquartered in North Bethesda, Maryland."
XNCR,"Xencor, Inc., a clinical stage biopharmaceutical company, focuses on the discovery and development of engineered monoclonal antibody and cytokine therapeutics to treat patients with cancer and autoimmune diseases. The company provides Sotrovimab that targets the SARS-CoV-2 virus; Ultomiris for the treatment of patients with paroxysmal nocturnal hemoglobinuria and atypical hemolytic uremic syndrome; and Monjuvi for the treatment of patients with relapsed or refractory diffuse large B-cell lymphoma. It develops Plamotamab, a bispecific antibody, which is in Phase I clinical trial to treat non-Hodgkin lymphoma; Vudalimab, a bispecific antibody, which is in Phase II clinical trial to treat metastatic castration-resistant prostate cancer and other solid tumor types. The company is also developing XmAb306, which is in Phase I clinical trial to treat solid tumors; XmAb104, which is in Phase I clinical trial to treat patients with selected solid tumors; XmAb564 that is in Phase Ib clinical trial to treat autoimmune diseases; AMG 509, which is in Phase I clinical trial to treat prostate cancer; XmAb819 for patients with renal cell carcinoma; Novartis XmAb, which is in Phase I clinical trial; XmAb541 for the treatment of ovarian cancer; and XmAb662 which is in Phase I clinical trial to treat patients with solid tumors. It develops VIR-3434, which is in Phase II clinical trial for patients with hepatitis B virus infection; and VIR-2482 that is in Phase 1/2 clinical trial to trat influenza A. The company develops AIMab7195 to reduce blood serum levels of IgE that mediates allergic responses and allergic disease; Obexelimab to treat autoimmune disease; and Xpro1595 to treat patients with Alzheimer's disease, mild cognitive impairment, and depression. It has a license agreement with Caris Life Sciences. Xencor, Inc. was incorporated in 1997 and is headquartered in Monrovia, California."
XNET,"Xunlei Limited, together with its subsidiaries, operates an Internet platform for digital media content in the People's Republic of China. Its platform is based on cloud technology that enables users to access, store, manage, and consume digital media content. The company offers Xunlei Accelerator, which enables users to accelerate digital transmission over the internet; mobile acceleration plug-in, which provides mobile device users with benefits of download speed acceleration and download success rate improvements; and subscription services that offer users premium services through various products, such as Green Channel. It also provides Mobile Xunlei, a mobile application that allows users to search, download, consume, and store digital media content; Xunlei Media Player, which supports online and offline play of digital media content, as well as simultaneous play of digital media content while it is being transmitted by Xunlei Accelerator; online games through online game website and mobile app; live video streaming and online advertising services; and cloud computing services and products, live streaming services, and other internet value-added services. The company was formerly known as Giganology Limited and changed its name to Xunlei Limited in January 2011. Xunlei Limited was founded in 2003 and is based in Shenzhen, the People's Republic of China."
XOMA,"XOMA Corporation operates as a biotech royalty aggregator in Europe, the United States, and the Asia Pacific. The company engages in helping biotech companies for enhancing human health. It acquires the potential future economics associated with pre-commercial therapeutic candidates that have been licensed to pharmaceutical or biotechnology companies. The company focuses on early to mid-stage clinical assets primarily in Phase 1 and 2 with commercial sales potential that are licensed to partners. It has a portfolio with various assets. The company was incorporated in 1981 and is headquartered in Emeryville, California."
XOS,"Xos, Inc. designs, manufactures, and sells battery-electric commercial vehicles. It also offers a range of services to facilitate the transition of fleets to electric vehicles, including charging infrastructure, vehicle maintenance, financing, and service. The company was founded in 2020 and is headquartered in Los Angeles, California."
XP,"XP Inc. provides financial products and services in Brazil. It operates XP Platform, an open product platform that provides clients to access investment products in the market comprising brokerage securities, fixed income securities, mutual, hedge, and private equity funds; derivatives and synthetic instruments; credit cards; loan operations/collateralized credit products; pension and social security funds, and life and travel insurance products; and other investment products comprising real estate funds, and equity and debt capital markets solutions, as well as wealth management services. The company offers brokerage and issuer services to institutional and corporate clients. It also manages mutual funds focused on stocks and macro strategies distributed to retail and to institutional clients; funds and managed portfolios for high-net-worth retail clients, and proprietary treasury funds; and passive mutual funds that track market indexes, and mutual and investment funds focused on fixed income, credit, real estate, infrastructure, and other alternative strategies. In addition, the company offers securities brokerage services for institutional and retail investors; interdealer brokerage services for institutional traders; and commercial and investment banking products, such as loan operations and transactions in the foreign exchange markets and deposits, as well as develops and sells financial education courses and events online and in person to retail clients. It offers its sell products and services through its omni-channel distribution network and online portals. XP Inc. was founded in 2001 and is based in Grand Cayman, Cayman Islands."
XPEL,"XPEL, Inc. sells, distributes, and installs after-market automotive products. The company offers automotive surface and paint protection, headlight protection, and automotive and architectural window films, as well as proprietary software. It also provides merchandise and apparel; ceramic coatings; and tools and accessories, which include squeegees and microfiber towels, application fluids, plotter cutters, knives, and other products. In addition, the company offers paint protection kits, car wash products, after-care products, and installation tools through its website. The company sells and distributes its products through independent installers and new car dealerships, third-party distributors, automobile original equipment manufacturers, and company-owned installation centers, as well as through franchisees and online channels. The company serves in the United States, China, Canada, Continental Europe, the United Kingdom, Asia Pacific, Latin America, the Middle East/Africa, and internationally. XPEL, Inc. was founded in 1997 and is headquartered in San Antonio, Texas."
XPON,"Expion360 Inc. designs, assembles, manufactures, and sells lithium iron phosphate batteries and supporting accessories under the VPR 4EVER name for recreational vehicles, marine, golf, industrial, residential, and off-the-grid applications. It provides battery monitors; direct current battery chargers; various models of industrial tie-downs; terminal blocks; and bus bars. The company also engages in the development of e360 Home Energy Storage systems. It serves dealers, wholesalers, private label customers, and original equipment manufacturers in the United States and internationally. The company was formerly known as Yozamp Products Company, LLC and changed its name to Expion360 Inc. in November 2021. Expion360 Inc. was founded in 2016 and is headquartered in Redmond, Oregon."
